komentar
Lalu bagaimana kabar Dadang sekarang
Kasian deh 😂😅😅
saya yakin bpk nadim itu difitnah
Yuk rakyat bangunnnn
Makannya jangan korupsi bang
"Jgn terlalu prcya dgn omongan orang ini,toh persidangan terbukti transaksi melalui anak usaha Google melalui Inventasi"
"Korban keganasan Jokowi..., Yaqut nyebut Jokowi, dan banyak koruptor yg tertangkap mentangkutkn Jokowi tapi K Oooo K tidak punya nyali nangkap Jokowi"
Dijadikan menteri ternyata menjadi suatu musibah..
Ini pasti sudah akal2lan jokowi dan wowo semua ini kalau orang benar trus pasti akan di singkirkan mereka takut nanti buat manen hasil2 besar takut ada yg ngintip dari belakng
Baklawi gembong korupsi
"Semua yang terlibat membuat sekenario menjijikkan ini, beserta seluruh keluarganya akan mendapatkan azab yang lebih menyedihkan dari Allah SWT. Aamiin."
Ngeri dengan hukum di indonesia
"Sabar pak,dunia hanya sesaat di akhirat bpk bisa menuntut balik karena keadilan akhirat itu pasti"
Kasihan Nadiem..dia korban dari Jokowi..kesalahan Nadiem kenapa dia mau menjadi menteri..
"Semua orang muslim yg ada di muka bumi ini percaya dan meyakini ada waktu pembalasan yg sangat adil dan rinci di mana tidak akan bisa di tutupi walau hanya sebutir pasir besarnya,ada waktunya hari pembalasan di mana mahluk yg di zdolimi akan menjadi saksi sari ujung rambut hingga ujung kaki kecuali mulut akan allah tutup dan percayalah hari pembalasan akan pasti tiba untuk mempertanggung jawabkan dalam qta berada di dunia dari awal qta lahir sampai menutup usia. . .
Allah SWT akan adil dan akan slalu adil maha suci allah dengan segala firmannya"
"Hukum buatan manusia tak mungkin melahirkan keadilan. Terapkan hukum buatan Allah, buahkan maslahat bg umat manusia"
"Kita punya Tuhan Pak, berdoa saja. Jika Bapak memang tak bersalah, siapapun yang menjerat Bapak tak akan lepas dari pengadilan Tuhan. Percayalah Pak, jika kita baik dan tak salah, Tuhan juga tak akan melepaskan siapapun yang menjahati orang baik dengan sengaja. Semua  manusia akan mati pada waktunya, akan ada pertanggung jawaban akhirat yang tak akan selesai walaupun tiap hari mereka minta ampun siang malam. Karena siapapun  yang  sengaja menjerat orang  baik yang tak bersalah, mereka sesungguhnya sedang mempermainkan Tuhan. Yang sabar ya Pak, tetaplah yakin dan berdoa, Tuhan akan memuaskanmu dengan keadilanNya pada waktuNya."
Ya Allah
Baru tau kan lu Jokowi itu tukang ngibul😂
"Hakim zolim sabar ya pak nadim allah bersama bpk nadim, insaallah pak nadim akan bebas."
"Makanya pak seharusnya anda jgn jadi pejabat yg jujur . Akhirnya gimana kan??
Anda dijadikan kambing hitam pak
Sungguh ironi"
Ngapain jadi pejabat mending tolak klw ujung nya menyakitkan
Hukum sdh mandul tinggal rakyat yg menegakkan hukum
Sungguh mengerikan hukum dinegri ini. Smg jaksa dan hakimnya dapat karma.
"Orang pintar, punya niat Ingin merubah dan memperbaiki negri ini!
 Lebih baik skip aja dah! Percuma! Negara udah bobrok! Rakyat di paksa bodoh! Hasilnya yg punya niat baik bakalan di bungkam! Penjara atau MATI! Cuma itu pilihanya!"
Korban jokowi
"Jgn nangis dong.. Kenape lo mau aje jd mentri.. Ga mikir panjang sih lu,,."
Uang negara yang hilang bukan dikorupsi sama Pak Nadiem tetapi sama tuyul dan genderuwo 💀
Haqul Yaqin Allah pasti menolong mu pak Nadiem 🤲🤲🤲
"mas nadiem daya yakin tidak korupsi, hanya sial aja  ngasih spek laptopnya harus pakai chroom book. ini kan masalah yang membuat kompetitor murka. dan kompetitor ini kalau cuman 100 m per jaksa atau hakim itu kecil. itulah resiko"
"carut marut, siap"" skenario selanjutnya"
"Yg nyuruh, sijack plh gk pernah diperiksa"
Mulyono dan keluarganya pasti senyam senyum.... 11 ribu T gitu loh....😅
"Nadiem bukan orang politik, tapi beliau mau menerima tawaran Mentri, mau tidak mau beliau ada dalam lingkaran politik, begitulah pola politik negeri konoha"
Seharusnya mulyono jokowi yg di vonis penjara karena ulah dia semua biang kerok permasalahan di negeri ini
"Semangat pak Nadin, semoga hukum Tuhan  akan menghukum siapa pun yg zolim"
"Rp,809 miliar Banyak Banget, pak"
"Sedangkan yg memberikan arah kebijakan msih brkeliaran main raja""an..KNPA GK di seret ke pengadilan utk di mintak kterangan KLO bisa di skalian di vonis"
"Kasus nya makarim apa ? 

INDOSURYA YANG MERAMPOK UANG KORBAN 16,3 triliun dan serara keseluruhan dari 23 ribu nasabahnya total 106 triliun. 

Tapj Mahkamah Agung menjatuhkan vonis 18 tahun penjara dan denda hanya Rp15 miliar kepada pimpinan Koperasi Simpan Pinjam (KSP) Indosurya, Henry Surya, yang diduga merugikan 23 ribu orang, dengan total kerugian disebut mencapai Rp106 triliun


Dan saat ini uang dan aset yg masih ada blm jelas kapan akan di kembalikan kepada para korban."
Ngeri bro... Menanti nepalisasi Konoha... Cepat atau lambat...
"Drama aja, lantas kalau tidak keluar dari pt akap goto lalu darimana keluarnya? Dan gmn caranya itu bisa menyentuh, dapatkan dan terima sama Nadiem?"
Jadi tumbal Jokowi 😂
Uang.nya kemana bang???
tuntut harus berat biar kapok koruptor😂😂
"Begitu besar jasa Nadiem untuk Pendidikan Indonesia...itu jelas , tidak bisa dipungkiri... semoga hukum bicara lebih baik lebih adil.
Nadiem... semoga Allah SWT selalu melindungi & menolongmu."
Di era anda pendidikan mundur se mundur2nya.
Anda bertanggungjawab rusaknya kurikulum selama anda menjabat. Itulah hukuman Dunia untuk anda
Pray for justice
Hukum sudah gila
Goo block banget penegak hukum nya
Bajingannya sdh pasti RAJA BUAL BUAL SANG PENIPU MULYONO CS😂😂😂
SANGAT ZHALIM/SANGAT JAHAT .
"Mas nadim itu orang cerdas, orang pinter..."
Bebaskan Nadiem & adili Jokowi
Sabar ya Pa Nadim...
Korban dari si ono noh
Bukan bela siapa siapa. Korupsi sekecil apapun pejabat semua ya sudah rakyat muak berita apapun.entah korupsi entah playing victim. Rakyat tetap bayar pajak dan tidak dapat apa apa😅
Selama hakim msh manusia tidak menutup kemungkinan msh disetiri.
"Udah cocok jdi bos ojol.. Malah msuk politik,,"
"Sayang Seribu Kali Sayang !!! 

 Orang Seperti Anda Terjebak Dalam Politik Munafik Yang Selalu Mengabaikan Etik Dan Moral Hingga Jadi Tumbal Praktek Politik Kotor Yang Rakus Oleh Para Tikus-Tikus !!!"
Tumbal kelicikan Mulyono
"Aneh ya  Pak , dosa apa Bapak ? KPK aneh,"
Ya alloh serem  jadi  pegawai
"Ya bongkar lah semuaa
Masa sudah tersudut masih belum dibuka😅"
"Kau kn Mentri 
Kasus besar GK mungkin hakim aneh2 zolim 
Kecuali Jokowi berkuasa"
"Di jadiin kambing hitam oleh negara sendiri, sementara pelaku yg sebenar'a bebas berkeliaran merasakan uang itu ..
Sungguh mengerikan sekali"
Konoha konoha
Ldbih bahagia mnnji pengusha sj
"Jika benar fakta ni , berat km di kambing hitamkan ."
"akan ada ke ajaiban pa nadiem, tenang saja,rakyat indonesia udah tau ko,semangat merdeka"
Semoga semua kena KARMA
Makanya KLO Uda jd pengusaha jgn mau di iming iming JD menteri atau pejabat di negeri ini...di buat tumbal di masukin penjara...sadis negeri ini pejabat nya kebanyakan penjahat
Ngeri
Terima saja siapa suruh mw menjabat
"Enak gak pak jadi Mentri dijaman raja ngibul??
😂😂
Ampir smua Mentri loh dijebak,,dikasih kebebasan,dan akhirnya...
Yaaa tau sendiri
😂😂😂"
"Kolekan ayo, gocap pertama ni buat Nadiem🖐️"
"Tuhan Maha Tahu , Allah SWT tidak tidur bencana akan datang untuk para penjahat"
"Tidak selayakny hakim disbut 'yang mulia' atau 'wakil tuhan', terlalu memuji profesi. lebih baik dipanggil pak / bu hakim saja.. apalgi pd negara yg sdg penegakan hukumny 'bobrok'... ataukah memang karakter bangsa ini sebenarny memang 'bobrok' ??!!!"
jahat banget subhanallah
Kena jebakan dewanya termul2 ... Nadiem hrs menanggung risikonya
"Yg membela korupsi otaknya dimana.
Orang korupsi kok klarifikasi,gk malu.."
kelihatan tampang yang bukan korupsi.... dari muka aja sudah bisa terbaca tak perlu bukti
Nadim jd tumbal
LAKNATULLAH PARA PENGUASA & PARA PENGADILAN INDONESIA
"Ingat para hakjm jgn membela yg salah, bsk anda  blom tau masih hidup, mulyono itu yg hrs di adili jg krn menjalankan perintah mulyono laknat itu."
Ini Mentri lho.....   gimana Anda yang pengusaha kecil  atau pejabat rendah tingkat bupati ke bawah...  hahaha.. ngeri ya.
PEOPLE POWER !!!
"Sesungguhnya kehidupan dunia ini hanyalah panggung sandiwara dan setiap manusia (tubuh jasmani) menjalankan peran sesuai dengan ketetapan yang tertulis di kitab takdir (Lauhul Mahfud). Setiap manusia harus sadar bahwa diri sejatinya bukanlah tubuh jasmani beserta akal pikiran dan perasaannya melainkan Aku. Siapakah Aku? 
""Sesungguhnya Aku adalah Allah. Tidak ada Tuhan selain Aku maka sembahlah Aku dan dirikanlah shalat untuk mengingat Aku."" QS Thaha ayat 14.
Bila engkau berperan sebagai penyaksi (peran ruh) panggung permainan selama engkau menjalani kehidupan dunia maka engkau akan senantiasa bahagia dan tidak punya penderitaan.
Sebaliknya bila engkau berperan sebagai aktor pelaku di atas panggung (peran tubuh jasmani beserta akal pikiran dan perasaannya), maka engkau akan selalu menghadapi berbagai masalah dan derita.
Semoga melalui kesulitan yang dialami oleh tubuh jasmani beserta akal pikiran dan perasaannya, Nadiem dapat kembali ingat siapa diri sejatinya.
                    Salam ENJOY ❤❤❤"
Mengalir ke yg nyuruhnya dn kita tau siapa dia makanya dia bikin partai dn berlimpah uang .biadab pak Nadim JD tumbal keluarga itu.
"Penyesalan Nadim yg akan diingat seumur hidupnya adalah kesalahan terbesar saat menerima tawaran menjadi menteri......

Maka jgn heran jika kedepannya akan banyak orang terdidik ,orang pintar yg akan pindah kewarganegaraan mengabdikan dirinya di luar negri..."
Edan
Hukum bobrok sebobrok-bobroknya... 😢
Yg kaya hakim jaksa nya 😂😂😂
Udah bener di Gojek pake jadi menteri Pak🫣
Kalo nadim mmang salah saya rela nadim dihukum tapi klo nadim mmang ga bersalah demi alloh kudoakan orang yg dzolim semoga mulutnya ga bisa makan Apapun. Amiin
Saya kira ini doa para ojol... yg potongannya gila gilaan... 😅
Sepertinya ada pesanan penjara dari seseorang yang rakus kekuasaan dan harta dunia
Parah klo hukum kek bgni smnjak jokowi prabowo
HiduP JokoWi !!!
"Pertanyaannya kenapa koruptor yg lain belum ada yg disuruh mengganti uang yg di korupsinya,,"
"Kalau Mantan kepala BGN, pasti dihukum ringan dendanya rakyat yg bayar"
"Kebenaran pasti akan menang 
Semangat pak nadim
💪💪💪"
Atasanya Bang Nadiem yg harusnya Di adilin..
Semua ini gara gara DPR semua kacau berau
Up
Indonesia udah di ambang kehancuran
809 : buat di bagibagi si tukang fitnah .. jngan dibayar mas
"Makanya jangan korupsi,, kan ente ikutan juga sama wiwi dan konco2nya yg nge back up mana mungkin gak terlibat,, tarik semua jeblosin yg terlibat,, sign dan approval kan pasti melalui ente yg kagak2 aja lah,, giliran suruh ganti uang kelojotan,, 😂😂 pejabat konoha yg korupsi enaknya kita lelepin ke sumur sampe mati 😂😂"
"Ngeriiii bos... beginilah dibirokrasi, banyak nadiem nadiem lain yg dibginikan di birokrasi. Mmg parah... semoga makin baik. 
Bangkit Indonesiaku"
Politik adu domba
Apes awakmu nadiem seng sabar ya awakmu org bener kok
"Sabar pak 
Jika anda terzolimi 
Biar waktu yg mnjwab 
Dan mereka tidak akan hidup abadi 

Semua ada tanggung jwab diakhirat"
Hukum di Indonesia sangat amburadul
Uangnya di di titipkn kepada pembantu😢😢😢
Kata prabowo hidup jokowi
ini lah konoha ..
"Karma tidak bisa di wakilkan 
Semua ada saatnya bang...
Ke Adilan pasti datang"
"Ini adalah awal mula , pencetusnya demonstrasi besar-besaran. Buktikan saja"
jelass serem banget Lo....penuntut umum itu bsk masuk neraka paleng pertama dan paleng dalam.......
Yg zolim terhadap nya hidup nya biar seperti mumi
Lah yg lain ko cuma 4 tahun..
Korban Jokowi
Klo ketua mbg wajar 15th
NADIEM Didzalimi dan ditumbalkan jokowi
"Suaminya Sandra dewi ngak begitu cara mengadili nya.... Kenapa di bedakan, korupsi timah merugikan negara 300T,, kenapa tdk mendapat hukuman yg lebih sulit,,, aneh prabowo ini ,, 😢😢"
jokowi mana jokowi
"Bener2 lu jdi CEO gojek...malah lu lepas... Aduhhh anak negeri pada gila jabatan.. KLO GX PNS GX keren..wkakkwkw..

Lu tuntun balik Jokowi.. minta tanggung jawab sama atasan lu dlu.. kambing hitam Jokowi. Jokowi kaya raya.. GX ada yg berani mengkorek hasil kekayaannya"
"Parah orNg yg bner dipenjara tanpa bukti ,silver yg Uda jls"" slh bebas"
😢😢 semoga kebenaran terungkap
15 tahun penjara yach total
"Trus kalau uang pengganti d bayar... Akan, d bawa kmn...??? 😅😅😅😅"
Tau gitu pa Nadiem ga usah ikut jadi menterinya.......
Nadiem juga banyak dosa kebijakan yg buat Indonesia pendidikannya ancur sampai saat ini... nodo amat ma korupsi nya
Makanya terang2 Ngan aja mang
Doa 200 juta rakyat ini akan segera terkabul untuk negara dzolim ini😢
Zolim sekali..😢 tidak sesuai
"Sampai detik ini masih belum ada tr4gedi apa apa.
Klo diluar mungkin 70% sudah m*ti itu pej4b4t2.
Kok ada ya rakyat sesabar ini 🤣"
"Perlu dicatat, dia pemilik dan pendiri ""raks4sa"" goj3k.
Dan para pej4b4d bej4d berusaha mengakuisisi dan m3r4mp4s itu dari sang pemilik.
Salah satunya dgn cara ini"
"Yaa Allah.. Pengadilan jahat.. Indonesia semakin amburadul.. Anak bangsa berbakat ternyata dijadikan tumbal.. 
Rakyat kesal... Sementara para pejabat  ber dasi putih di birokrasi..mencuri dng mudah nya .. Tampa merasa bersalah.. 
Indonesia sarang korupsi yg menuduh anak bawang menjadi tumbal.. 
Rakyat menanti keadilan"
"Salahnyabkenapa dulu mao maoann ajah di kasih jabatan mentri sama jokowi...ternyata cuman cari masa karna punya masa gojek...ujungnya hanya dibjadikan tumbal kekuasaan sama jokowi...sekarang liat apa pembelaan jokowi buat nadim...
Andai ajah waktubitu tetap di gojek mungkin ga akan seperti sekarang..."
dzolim.. siap² menuju kehancuran suatu negara
Mukanya memang jujur Allahu Akbar
Kalo orang itu benar tidak korupsi maka Belio tidak akan kena hukuman.
Kacau banget negara ini. Penegak hukumnya main2in hukum.
Penasaran Dadan di vonis brp dan ganti rugi brp...
Jangan kasih ke Perampok
"Jika bapak nadirmin merasa yakin tdk salah.. Serahkan sama Tuhan saja pak... Pasti mereka akan Terima hukuman yang dari Tuhan... Saya yakin pak.. Bapak tdk sejahat itu.. Sy do'akan ya pak.. Siapa yg lebih dulu dijemput malaikat maut.. 
Saksikan saja pak.. GBU.. ❤❤❤❤❤❤❤❤❤❤"
"Gilaa...!!! Astagfirulloh....
Kasian jadi TUMBAL Pak Nadiem Makarim..., di ZHOLIMI... Yaa Alloh..Astagfirulloh...
Uang Pengganti kok
809 Milyard.....??!!  
Cari uang seratus ribu aja susaaahhh..., yg Pengangguran seperti saya..."
Alhamdulillah semoga kedepan indonesia terbebas dari para koruptor... Dan pak nadim moga cept bertaubat contohlah angelina sondak..
"Maka yg terjadi kedepan, orang orang baik yg berkopeten tidak akan mau mengabdi untuk negara... 
Yg serakah akan membanjiri jabatan dipemerintahan"
"Dan uang itu di rencanakan lari kemana ya, jika terbayar."
koruptor pintar ekting.hukum mati biar kapok
Pak nadiem ....apa sdh ngomong uang itu beredar di Jokowi n luhut
"Hadirkan Jokowi dipersidangan. Setiap sidang kasus korupsi slalu tersebut namanya. Ingat pak hakim, pak jaksa, pak penyidik. Ust Das'ad bilang bahwa kalian bisa lolos pengadilan dunia, tp kalian tdk akan bisa lolos pengadilan akhirat. Aamiin.."
Kasian jg jd tumbal krn big bos sdh gak takut Tuhan
"Orang yg mampu menciptakan lapangan kerja ribuan orang kok gak dihargai sama sekali
Dasar negara dengan pemimpin yg biadab"
"aku kasihan sama pak Nadiem, semoga sabar menghadapinya dan sehat selalu"
Insyaallah Allah akan memberikan jalan....
Kita liat aja netizen si Dadan cs di hukum berapa tahun denda berapa kalw lebih ringan dari pak Nadiem demo
Yg triliunan dendanya gak segitu...sabar ya pa Nadiem namanya juga negara Konoha ...tahu begitu mending jadi pengusaha gojek gak hrs banyak tuntutan
Innalillahi... Biadaaabbbb... !!! Pengadilan sesattt....!
"Hukum harus berat buat korupsi, coba liat masyarakat yang di bawah"
"Yg pinter bisa ditipu oleh yg tolol,,,, bukan si tolol hebat,,,, tp banyak tolol-tolol lain yg memiliki satu ambisi...."
Astagfirullohaladzim...semiga Bpk Nadiem sehat selalu dan cepat ada mujijat dari Alloh swt atas keshabaran dan keridoannya memberi ilmu kepada generasi Anak2 muda 🤲🤲🤲🤲😭😭😭😭
Jebakan betmen sebut aja bang sebut aja anda di jebak jokowi
"Turut prihatin pak Nadiem. Namun apadaya apa yang bisa kami bantu, hanya do'a semoga Allah Subhanahu Wataalah menunjukkan kebenaranNya ."
"Turut prihatin pak Nadiem. Namun apadaya apa yang bisa kami bantu, hanya do'a semoga Allah Subhanahu Wataalah menunjukkan kebenaranNya ."
singguh zalim kekuasaan saat ini terlalu duniawi hingga sering kali melakukan hal hal hina. ingat pengadilan tertinggi adalah kuasanya. siapa menanam akan memetik hasilnya siapa berbuat akan menaggung pembalasanya kelak nauzubillah
Tumbal Mulyono 😮
wong solo di lawan
mka y dulu klu programen jngn sok pinter mas..anak belajae i line sya harus beli hp...masih ingt z
Hakim2 yang dzalim semoga segera dilaknat didunia dan akhirat
Siapa siih sebenarnya aktor yang begitu zolim?
Hidup jokowi
Dia cerdas visioner tpi dia membuat kesalahan dgn masuk kabinetnya jokowi
Para penjahat itu ga inget mati!!!
"Miris Melihat Hukum di Indonesia...??...,   Gampang merangkai Fitnah...??...    Drama Pengadilan....??.... 😂😂😂😂"
"Terlanjur pak Nadim, kalo waktu bisa di putar kembali pasti gak Sudi jadi menri"
Aamiin 🤲
Salah dukung bosi
Mulyono lagi mulyoni lagi
Epek ikut jd timses jkowi
Jokowi penghancur bangsa meninggalkan sayembara ijazah
"Kasian pak nadim dibuat kambing hitam dan peralihan isu publik program mbg,,, 😢 yah ALLAH beta sulitnya jadi orang baik dikonoha,,, 😭😭😭"
"Sy berfikir,  Setega itukah orang yg menumbalkanya,  apakah mereka agama,  tidak kah berfikir dunia bukan segalanya, pengadilan akherat menanti"
"Nadim makarim sdh ciptakan lapangan kerja 
sdh banyak rakyat yg tertolong hidup kluarganya , dgn menjadi ojol 
makanya di buat seperti itu.
Indonesiakuu ada apa ? 
bgmn dgn koruptor yg menikmati uang negri ini tanpa memikirkan kehidupan rakyatnya ???
Ada apa ?"
Korban dari Mulyono.
😢edan ini sudah
buka aja boss..sapa yg meminta anda utk transit uang itu..pasti ada yg nyuruh lah..
"Semoga putusan pengadilan, adalah suatu kebenaran. Hukum orang yg salah dan bebaskan orang yg benar"
Si Jokowo kmn ?
Inilah politik di konoha. Anda berjalan lurus sesuai perintah aja bisa jadi tersangka. Q
"enak2 jadi bos gojek..
lha ya kok mau dijadikan mentri...
Sukses tak dipuji 
Salah kebijakan masuk bui"
Negara penjahat kepada rakyat melalui kejaksaan agung  dengan mapia peradilannya. Sermoga dijahkan dari surga dan maduk metaka jahanam
"Hukum sudah menjadi alat kekuasaan,
Ini Uda menjadi negara tiran.
Sudah wajib hukum nya dilakukan revolusi akhlak
Agar GK menjadi makin banyak makan korban.
Ini hakim Uda GK ada rasa manusia lg,"
"Pada merdeka saja di setiap pulau,,"
"Yang jadikan dia mentri adalah Jokowi Akir nya masuk penjara 
Yang jadikan kepala mbg dadang Jokowi Akir nya masuk penjara 

Kok aneh ya apakah di jadikan tumbal"
Daya rusak pria solo buat hukum hancur parah
Daya rusak pria solo buat hukum hancur parah
Bagaimana dengan keterangan ruang pak akbar bersama nasrum Pak hinca..
Yang ksih vonis itu siap2 tanggung dosa berat saat di hisab....😮😮
Byak yg menikmati kinerjar bo terutama dunia pend dng Aittiiiiiiiiiiiiiiiiiiiiii
Kirain ini menteri kesayangan Jokowi eh ternyata bukan
"Hakim, di indonesia kan pinter2"
Semangat pak adikmu Allah buka  nanti yg benarrrrr kuattttttttt pak byak yg berdoa untuk p adim
Negara isinya koruptor!!!
Tapi termul alasan nya macam2.menyalah kan nadim.tapi tapi yg nyuruh tambah angaran diem2 bae
"Makanya mas jgn mau dibujuk rayu Jokow jd menteri. 
Pemerintahan itu jahat, politik itu jahat. Fh bener jd CEO gojek, mas cukup dibalik layar saja kalau mau bantu pendidikan di Indonesia. Ga perlu jd aktor utama. 
Semoga Tuhan Yang Maha Kuasa menunjukkan kuasa-Nya padamu mas Gojek"
Parah😢
Selamat Datang di Negeri Ngeri
"Tunggu aja bang nadiem 2029, ahok n kdm pasti bantu anda"
Aduh uang apa itu kertas kah
Semoga jaksa penuntut dan keluarganya mendapat KARMA yg lebih beratttttttttttt
Mestinya Mulyono yg diruntut
Pak Nadim...klo bisa anggarannya di tambah wkwkwkwkw
"Biadab buanget, Allah Maha Mengetahui  apa2 yg dilakukan oleh  biadab2 yg zalim itu, mas Nadim jngn pernah berharap pertolongan selain Allah, banyak2 istighfar berserah diri, kembalikan semua persoalan kpd Allah, isyaaAllah Allah akan menolong dg cara Allah yg tak terduga, insyaaAllah cobaan dan fitnah itu akan menghapus dosa2 dan Allah akan mengangkat derajat anda"
"Tdk terbukti tapi di vonis 15 thn, ngeri amat keadilan di negri ini,"
Ketika anak muda yg sangat berjasa untuk indonesia tiba2 d jebloskan oleh negara.... Gibran sewa mahasiswa kemaren gmn....???
D tumbal kan oleh mulyono
"Bang hotman Paris , gmn ni, apakah sudah tercapai keadilan?"
Jadi tombal molyono ....siapa pun di cap pengianat pasti akan bernasip seperti ini
"Kalo Nadiem bisa divonis spt ini kasus whoose, IKN, MBG Bisa diseret semua pelaku2 nya"
JOKOWI OH JOKOWI
Kartu sakti keluarin dah Wo
"Dunia hanya sementara pak 
Di penjara itu ibarat neraka di dunia,

Aku yakin dengan orang yang Menjolimi bapak,Suatu saat pak Nadim ditempatkan di surga"
Bukti demokrasi tidak cocok untuk orang pintar
"Peringatan Bagi Para Pejabat yg sekarang SEDANG MENJABAT,  INI CONTOH PAK NADYM MAKARIM ,KARENA TERLALU NURUT TANPA BANTAHAN IKUTI PERINTAH DAN KEBIJAKAN ATASANNYA"
"hsti2 semuanya jangan berurusan dgn  kel. pembohong ulung jika ingin tenang dan selamat  dunia akherat. 
Lihat semua yg kerja sama semua baju oren"
Kejaksaan & Pengadilan yg menghukum seseorang yg tdk bersalah akan menderita hidupnya dunia & akhiray
Parah di mah hukum indo
"Ngape Nadiem tadak nuntut ke jokowi, kok maok2nye jd martir dan bempernye utk menyelamatkan jokowi dan keluarganye,.."
Makanya rim rim lu udah enak enak punya gojek lu'nya ikutan gituan.. nyeselkan jadinya 😂
jokowi yg korupsi sampe sekarang bebas melanglang buana
"Makanya jangan mau dihukum sendirian, bicara dong"
"Ayo anak2 gojek jangan pada diem aja,ini sudah tidak adil,ijo in ayo ayo"
"Jokowi hrus d hadirkn, di sidangkn...ini cara terbaik agar indonesia berubah"
Siap yg memfitnah mu pak nadim....dia dajjal sejati
Fitnah keji yg akan berbalik pada anak cucu seluruh pejabat kotor...semua keturunannya akan musnah d Ngan ketidak benaran🎉
"Parah,si omon omon diem2 bae,ampuun negara udah parah,rakyat udah muakkkk,si jokowi ga ada yg berani nyentuh sama sekali malah,pasti dia korup plus izasah bodong,cuiiih"
"Mau ngapain bang,..dia sendiri yang mau dipilih jadi menteri bang..dia orang cerdas bang,  dah paham resiko jadi pejabat"
Jelas bapak ini orang baik karena baru kali ini ada kasus dalam dunia pejabat mereka sendiri tapi di persulit
Kasihan anda tertipu jokowi
Pake Nadiem salah satu tumbal kelicikan penguasa
"Semoga yg memberi vonis NADIEM,,KENA ADZAB,,"
sepertinya pak nadiem sengaja dijadikan tumbal oleh elit tertentu di negara ini
Kebobrokan keadilan
"Kenapa Hakim di Indonesia banyak yang jadi Dazzal Gitu yach, apa mereka gak takut akan Hukum Akherat..., Semoga apa yg dialami Nadiem makarin ini, suatu saat, dirasakan oleh Anak-Cucu nya Hakim yang memvonis Nadiem"
"kenapa eg minta sama bos nya,jokowi"
"Kalau sudah begini ...jangan salahkan kami ..jika kami berbakti kepada negara luar ..karena di negara sendiri ..kita tidak pernah di hargai , malah justru di singkirkan ."
Ini lah Konoha ..orng pintar ..orang jujur ..malah jadi tumbal .
Tunggu pak Prabowo pidato
"Lah ngapain anda kok mau jdi mentri jokowi, anda di jebak jokowi,, enak jdi owner PT. Gojek dlu"
"Alhamdulillah, ga ada pejabat yg ga korupsi., perusak sistem pendidikan indonesia."
Kalian yakin dia tidak salah? 100% ? Ampe banget dibela2. Jawab santai aja
Makannya lu urus aja gojek ngapain lu masuk di pemerintahan yang BOBROK lu sendiri yang jalanin ya jalanin lah...gojek Udeh di cekik juga sama aplikatornya lu juga kena kan lu hahahah kikan
"Lgi tenang2 di usa di panggil jokowi cumn di jdikan tumbal, yg sabar pk Alloh g tidur"
Gilaa...gilaaa..wiss edan edanan
Mana ada maling ngaku😂
Hukum gila
"Anda itu kaya, jdi para pentut iri jdi di tuntut dengan cara yang tidak masuk akal. 
Seharusnya anda itu tidak masuk pemerintahan dan tetap di bisnis. 
Anda di masukan kepemerintahan untuk di pidana."
Karma menidas Driver
Yg terbukti dpt upeti malah santai2
